nome do prato;principais ingredientes;Possui glúten?;Possui lactose?
PURÊ DE BATATA DOCE;creme de leite, leite,queijo,queijocoalho;NÃO;SIM
PURÊ DE BATATAS;batata, leite, creme de leite;NÃO;SIM
PURÊ DE INHAME;cr.de leite,leite,margarina,catupiry;NÃO;SIM
PURÊ MACAXEIRA C/ CARNE;creme de leite,margarina,leite,queijo,carne;NÃO;SIM
QUIABO ;sal ;NÃO;NÃO
QUICHE  RICOTA E CEBOLA;farinha de trigo, ovo, leite, ricota,cebola;SIM;SIM
QUICHE DE BACALHAU;Trigo,catupiry,queijo, ovo;SIM;SIM
QUICHE DE CAMARÃO;Trigo,ovo,queijo, margarina;SIM;SIM
QUICHE DE CARNE DE SOL;catupiry,trigo,margarina,carne de sol;SIM;SIM
QUICHE DE CARNE SECA;catupiry,trigo,margarina,;SIM;SIM
QUICHE DE FRANGO;ovo, margarina,trigo;SIM;SIM
RAGU DE CARNE DE SOL;carne de sol, tomate, pimentão, cebola e margarina;NÃO;SIM
RATATOUILLE;abobrinha,berinjela,tomate,manjericão,parmesão;NÃO;SIM
RIGATONE DE FRANGO ;frango, m. de tomate, m.branco;SIM;SIM
RISOTO DE CAMARÃO;creme de leite, queijo, camarão;NÃO;SIM
RISOTO DE CARNE SECA;catupiry, queijo, creme de leite, charque;NÃO;SIM
ROCAMBOLE  C/RICOTA;carne moida,ricota,salsa,cr.de.leite,far.de rosca;SIM;SIM
ROCAMBOLE CARNE;farinha de trigo, ovo, queijo coalho;SIM;SIM
ROCAMBOLE DE BACALHAU;batata,cr.de leite,ovo,trigo,margarina,bacalhau;SIM;SIM
ROCAMBOLE DE CAMARÃO;batata inglesa,ovo, leite,m. de tomate;SIM;SIM
ROCAMBOLE DE CAMARÃO;batata, ovo, leite,queijo,m. de tomate;SIM;SIM
ROCAMBOLE DE FRANGO;batata, ovo,leite,magarina;SIM;SIM
ROCAMBOLE DE QUEIJO;trigo, leite, batata,ovo, queijo ralado;SIM;SIM
ROCAMBOLE ENFORMADO;batata inglesa,maragarina,trigo,leite,frango;SIM;SIM
ROCAMBOLE QUATRO QUEIJOS;batata,leite, margarina,creme de leite, queijos;SIM;SIM
RONDELE DE CAMARÃO;molho branco, queijo;SIM;SIM
RONDELE DE FRANGO;molho branco,frango,queijo parmesão;SIM;SIM
RONDELE QUEIJO PRESUNTO;massa de lasanha,queijo,presunto,;SIM;SIM
RUBACÃO;queijo,cr.de leite,charque,catupiry;NÃO;SIM
SALADA  DE ALFACE;alfaces crespa, lisa, americana;NÃO;NÃO
SALADA AMERICANA;Creme de leite, mostarda;NÃO;SIM
SALADA C/ GERGELIM PRETO;cenoura,queijo,mostarda,mel,;NÃO;SIM
SALADA C/ SALMÃO;milho,cenoura,azeitona,batata palha;NÃO;NÃO
SALADA CAESAR;frango,alho,iogurte,maionese, croutons;SIM;SIM
SALADA CARIBE;alface , manga, repolho roxo,branco,pimentões;NÃO;NÃO
SALADA CITRICA;repolho,abacaxi,carne,alfaces,mostarda,mel;NÃO;NÃO
SALADA COMPLETA;palmito, gergelim, azeitona, queijo;NÃO;SIM
SALADA COMPLETA;azeitona, iogurte,castanha,maionese,palmito;NÃO;SIM
SALADA COUVE C/ MORANGO;couve folha, morango,acelga,azeite;NÃO;NÃO
SALADA DA MAMMA;alface americana,tomate cereja,queijo;NÃO;SIM
SALADA DAKOTA;alcega,uva passa,maionese, mostarda,frango;NÃO;SIM
SALADA DE ABÓBORA;azeite,sal,cebolinha;NÃO;NÃO
SALADA DE ABOBRINHA;cenoura, chuchu, abobrinha,sal,azeite;NÃO;NÃO
SALADA DE ESCAROLA;morango, pimentões, mel;NÃO;NÃO
SALADA DE ESPINAFRE;laranja,espinafre,ameixa,;NÃO;NÃO
SALADA DE FOLHAS ;folhas de alface;NÃO ;NÃO
SALADA DE GÃO DE BICO;azeite,tomate,cebola,pimentão;NÃO;NÃO
SALADA DE KANI;kani, azeite,alfaces,;SIM;NÃO
SALADA DE LINHAÇA;queijo, cenoura, mel;NÃO;SIM
SALADA DE MANGA;tomate,palmito, mostarda,mel;NÃO;NÃO
SALADA DE MANGA;iogurte, mostarda, mel;NÃO;SIM
SALADA DE MARACUJÁ;cr. De leite.mostarda, iogurte,mel;NÃO;SIM
SALADA DE PEIXE;peixe,maionese,vinagrete,legumes;NÃO;SIM
SALADA DE PEIXE;milho ,ervilha,peixe,maionese,coentro;NÃO;SIM
SALADA DE REPOLHO;repolho, alho,cenoura,couve folha,sal;NÃO;NÃO
SALADA DE RÚCULA;rucula,ricota,mostarda,mel,gergelim;NÃO;SIM
SALADA DE SALMÃO;salmão, cenoura, milho, azeitona, batata palha;SIM;NÃO
SALADA DE UVA QUEIJO;azeite,tomilho,limão,queijo coalho;NÃO;SIM
SALADA DELÍCIA;kani, cebola, maionese;SIM;NÃO
SALADA DOMANI;mostarda, mel, frango,queijo,alface;NÃO;SIM
SALADA FANTASIA;milho, pepino,maionese,cenoura;NÃO;SIM
SALADA FRANGO C/ MANJE.;croutons,frango,provolone,manjericão,alfaces;SIM;SIM
SALADA ICE;kiwi, manga, alface,mel.gengibre ,pimenta,kani;SIM;SIM
SALADA MISTA;alface ,pimentões,morango,couve folha,repolho;NÃO;NÃO
SALADA RICA;folhas,abacaxi,frango, hortelã,maionese;NÃO;NÃO
SALADA SABOR DO MAR;alfaces,queijo coalho,kani,oregano,mostarda,mel;SIM;SIM
SALADA SALG. DE UVA;uva, milho, frango,mostarda;NÃO;SIM
SALADA SALGADA DE UVA;cr. de leite,mostarda,maionese,frango,;NÃO;SIM
SALADA SOFISTICADA;tomate cereja,palmito,queijo,gergelim;NÃO;SIM
SALADA TABULE;trigo,azeite,verduras;SIM;NÃO
SALADA TROPICAL;iogurte, mel, azeite;NÃO;SIM
SALADA TROPICAL ;maionese,iogurte,repolho,cebola,mostarda,mel;NÃO;SIM
SALADA UVA E QUEIJO;FOLHAS, UVA, QUEIJO;NÃO;SIM
SALADA VERDE C/ QUEIJO;queijo coalho,azeite,;NÃO;SIM
SALMÃO GRELHADO;Limão,sal, pimenta;NÃO;NÃO
SALPICÃO DE FRANGO;frango, queijo, maionese, creme de leite;SIM;SIM
SALSICHA  DE FRANGO;margarina,molho de tomate, tomate,cebola,pimentão;SIM;SIM
SANDUICHE DE FORNO;frango,queijo,pão de caixa,M.branco,;SIM;SIM
SELETA DE LEGUMES ;Brócolis,Vagem cenoura, ervilha;NÃO;NÃO
SOBRECOXA REC.RICOTA;filé,ricota,salsa,cr de leite,noz moscada;NÃO;SIM
SOJA;legumes, azeite,colorau,alho,sal;NÃO;NÃO
SOPA DE CARNE ;macarrão ,legumes;SIM;NÃO
SOPA DE FEIJÃO ;macarrão ,legumes;SIM;NÃO
SOPA DE PEIXE;coco,legumes,cr.de leite,peixe;NÃO;SIM
SUFLÊ CENOURA E QUEIJO;ovo,trigo,leite,cenoura,queijo;SIM;SIM
SUFLÊ DE BACALHAU;farinha de trigo, ovo, leite;SIM;SIM
SUFLÊ DE BRÓCOLIS;ovo, farinha de trigo, brócolis, margarina;SIM;SIM
SUFLÊ DE BRÓCOLIS ;Ovo, trigo, margarina;SIM;SIM
SUFLÊ DE CAMARÃO;ovo, trigo, leite;SIM;SIM
SUFLÊ DE COUVE-FOLHA;ovo, trigo, sal,margarina,couve folha;SIM;SIM
SUFLÊ DE FRANGO;ovo, trigo, frango,legumes;SIM;SIM
SUFLÊ DE LEGUMES;ovo, trigo, margarina,legumes;SIM;SIM
SUFLÊ DE QUEIJO PRESUNTO;ovo,trigo, leite ,queijo,presunto;SIM;SIM
SUFLÊ DE SALMÃO;ovos, molho branco, salmão;SIM;SIM
SUFLÊ QUATRO QUEIJOS;farinha de trigo, ovo, queijo ,cr.de leite;SIM;SIM
TAPIOCA DOCE ;coco,leite condensado açucar;NÃO;SIM
TERRINE DE BERINJELA;ovo, m. branco,tomate seco,oregano,queijos;SIM;SIM
TOMATE CEREJA E QUEIJO;queijo,manjericão,oregano,toamte;NÃO;SIM
TOMATE EM RODELAS;;NÃO;NÃO
TOMATE REC. CAMARÃO;filé de camarão,creme de leite;NÃO;SIM
TOMATE REC. FRANGO;file de frango, creme de leite;NÃO;SIM
TOMATE REC. RICOTA;cr. de leite,salsa,ricota,sal,queijo;NÃO;SIM
TORTA  ABOBORA C/ CARNE;creme de leite, catupiry, trigo, carne seca;SIM;SIM
TORTA  ABOBORA C/CAMARÃO;trigo,ovo,camarão,margarina;SIM;SIM
TORTA  ABOBORA CAMARAO;catupiry,creme de leite,trigo;SIM;SIM
TORTA  PURÊ C/ CAMARÃO;leite,ovo,margarina,trigo,;SIM;SIM
TORTA CREPE DE CAMARÃO;ovo  , leite ,trigo ,camarão ,m.de tomate;SIM;SIM
TORTA DE  CARNE SECA ;provolone ,mussarela,purê de inhame,catupiry;NÃO;SIM
TORTA DE FRANGO;ovo, trigo, margarina;SIM;SIM
TORTA DE RICOTA; ovo, leite condensado,goibada,ricota;SIM;SIM
TORTA FRANGO C/ CATUPIRY;ovo, trigo, margarina ervilha, milho;SIM;SIM
TORTA FRANGO C/ QUEIJO;ovo, trigo, margarina, queijo;SIM;SIM
TORTA MADALENA;batata,leite, cr. de leite, carne moida,queijo;NÃO;SIM
TORTELETE DE BACALHAU;bacalhau, catupiry,azeite;SIM;SIM
TORTELETE DE CAMARÃO;camarão,trigo, ovo  catupiry;SIM;SIM
VAGEM C/ QUEIJO;queijo, azeite;NÃO;SIM
VAGEM C/ QUEIJO;TOMATE,VAGEM ,QUEIJO COALHO;NÃO;SIM
VAGEM QUEIJO E TOMATE;sal,vagem,tomate,queijo;NÃO;SIM
VINAGRETE;tomate, cebola, pimentão, coentro;NÃO ;NÃO
CONTRAFILÉ M.MADEIRA;cebola,bacon,vinho,cenoura,trigo,shoyou;SIM;NÃO
PESCADA AMARELA / FORNO;açafrão,sal,pimenta,trigo,tomate,alcaparra;SIM;NÃO
BACALHAU ITALIANO;tomate seco,azeitonas,alcaparras,pimenta,orégano;NÃO;NÃO
PICANHA SUÍNA M.BARBECUE;vinagre,polpa de tomate,melaço,mostarda;NÃO;NÃO
FÍGADO ACEBOLADO;figado bovino,cebola,sal,óleo,alho;NÃO;NÃO
BACALHAU NO COCO;legumes,cr.de leite,leite coco,óleo dendê,sal,;NÃO;SIM
FRANGO M. PROVOLONE;trigo,leite,margarina,noz moscada, provolone,;SIM;SIM
